Method,Embedding,Silhouette,DBI,n_clusters,Entropy
KMeans,W2V,0.41859757900238037,0.6364736803778781,5,1.1500497763356459
KMeans,BERT,0.08144911378622055,2.7584755395146883,5,1.5281113255346361
KMeans,TF-IDF,0.019710795838580035,5.069140940546615,7,1.1566722395237135
KMeans,TF-IDF + LDA + PCA,0.507839751468517,0.6621112644278592,7,1.915105054782762
AHC,W2V,0.4360661506652832,0.7196131289004288,3,0.7652491742914719
AHC,BERT,0.12394604086875916,2.582881852730408,3,1.052301558082842
AHC,TF-IDF,0.009555176883240328,3.3093108264638986,7,0.5369713856505279
AHC,TF-IDF + LDA + PCA,0.4396382667942683,0.8000224446598186,7,1.922589330495259
DBSCAN,W2V,0.6539286971092224,0.7720151171283458,2,0.007722041041775076
DBSCAN,BERT,0.1284094601869583,1.9198437360422957,4,0.03498262891718584
DBSCAN,TF-IDF,-0.2609836277992285,5.58533245495018,2,0.017073906767950103
DBSCAN,TF-IDF + LDA + PCA,0.3772433099501834,1.4625085540338518,6,1.7188131430267573
